Job Title,City,Pay,PayUnit
Environmental Service Worker (ESW) - Hospital,"Tisdale, SK",18.52,HOUR
Electrical And Electronics Engineers,"Saskatoon, SK",Not available,
Industrial Mechanic,"Thetford Mines, QC",20.00,HOUR
Hematopathologist,"760 Topsail Road, Mount Pearl Square-Community ServicesMount Pearl, NLA1N 3J5","1,225.00",DAY
Customer Service Supervisor - Retail,"48 Ingram DriveNorth York, ONM6M 2L6",18.50,HOUR
Line Cook,"Lake Louise, AB",15.00,HOUR
Water Treatment Operator,"Nanaimo, BC",$28.93 hourly,
Child Caregiver - Private Home,"Maple, ON",15.00,HOUR
Graphic Designer,"Vancouver, BC",39.00,HOUR
Saw Operator - Metal Fabrication,"Kingsville, ON",18.00,HOUR
Window Sash And Frame Glazier,"Hamilton, ON",19.00,HOUR
"Design Engineer, Electrical","Trois-Rivières, QC",Not available,
Early Childhood Educator (E.C.E.),"Rouyn-Noranda, QC",16.75,HOUR
Sales Consultant - Retail,"Rivière-du-Loup, QC",to be discussed,
Marketing Project Officer - Market Research,"Victoriaville, QC",to be discussed,
R.P.N. (registered Practical Nurse),"Sudbury, ON",33.00,HOUR
Informatics Security Analyst,"Québec, QC",Not available,
Hardware Store Clerk,"Chibougamau, QC",to be discussed,
Furniture Cabinetmaker,"Anjou, QC",to be discussed,
Network Architect - Computer Systems,"Québec, QC",Not available,
Telephone Survey Clerk,"based in Charlottetown, PE",12.85,HOUR
Drywall Installer,"Edmonton, AB",27.50,HOUR
Light Duty Cleaners,"Warman, SK",Not available,
Cook,"642 Bloor St WestToronto, ONM6G 1K9",14.25,HOUR
Hotel Clerk Supervisor,"20 Fen Ridge CourtBrantford, ONN3V 1G2",23.00,HOUR
Inventory Control Supervisor,"3-2244 DREW ROADMississauga, ONL5S 1B1",25.50,HOUR
Administrative Assistant,"Saint-Eustache, QC",Not available,
Painter Helper - Construction,"Surrey, BC",25.00,HOUR
Retail Store Supervisor,"Lloydminster, AB",20.00,HOUR
Food And Beverage Server,"Coquitlam, BC",Not available,
Accountant,"Blainville, QC",Not available,
"Labourer, General - Manufacturing","Drummondville, QC",17.00,HOUR
"Manager, Marketing","Toronto, ON",Not available,
Inbound Customer Service Representative - Contact Centre,"Elmsdale, NS",15.00,HOUR
Sales Supervisor - Retail,"154 Clarke RoadLondon, ONN5W 2W8",19.75,HOUR
Cook,"Terrebonne, QC",to be discussed,
Census Enumerator,"Bellefleur, NB",17.83,HOUR
Warehouse Shipping Clerk,"Mirabel, QC",15.78,HOUR
Computer Network Technician,"Scott, QC",Not available,
Plumber,"Richmond, BC",34.00,HOUR
Meat Cutter - Retail Or Wholesale,"Delta, BC",16.00,HOUR
Retail Sales Manager,"Valemount, BC",31.50,HOUR
Retail Store Supervisor,"71 Seachart Place #Unit No. 2 BramptonBrampton, ONL6P 3E1",18.40,HOUR
Baker,"Guelph, ON",14.25,HOUR
Carpenter,"718 Eaton Way, Annacis IslandDelta, BCV3M 6J9",28.00,HOUR
Retail Merchandiser,"Saint-Hyacinthe, QC",Not available,
Shift Manager - Fast Food Restaurant,"Sainte-Agathe-des-Monts, QC",Not available,
Counter Clerk - Retail,"Québec, QC",13.10,HOUR
Sales Consultant - Retail,"Sherbrooke, QC",17.00,HOUR
Construction Technician - Civil Engineering,"Laval, QC",to be discussed,
Buyer - Purchasing,"Knowlton, QC",Not available,
Tool And Equipment Rental Clerk,"Sherbrooke, QC",Not available,
Medical Orderly,"Saint-Jean-de-Dieu, QC",to be discussed,
Production Co-ordinator,"Saint-Bruno-de-Montarville, QC",Not available,
"Engineer, Software","Gloucester, ON",47.00,HOUR
Administrative Support Officer,"Caraquet, NB",Not available,
System Administrator,"Québec, QC",to be discussed,
Home Child Care Provider,"Winnipeg, MB",15.00,HOUR
Building Operator - Maintenance,"North York, ON",18.00,HOUR
Managing Supervisor - Retail,"Sherbrooke, QC",to be discussed,
Census Enumerator,"Porcupine, ON",17.83,HOUR
Personal Banking Representative,"Gatineau, QC",Not available,
Production Clerks Supervisor,"Laval, QC",17.00,HOUR
Finance And Administration Director,"La Tuque, QC",Not available,
"Counter Attendant, Restaurant","Drummondville, QC",to be discussed,
Administrative Assistant,"5990 Charles St.Burnaby, BCV5B 2G4",22.00,HOUR
"Manager, Marketing","West Vancouver, BC",49.00,HOUR
Assistant Brand Manager - Advertising,"Edmonton, AB",31.00,HOUR
Welder-assembler,"Saint-Hubert, QC",20.00,HOUR
Transport Logistics Technician,"Montréal, QC",Not available,
"Cook, First","Laterrière, QC",to be discussed,
Tractor-trailer Truck Driver,"Saint-Robert, QC",to be discussed,
Food Store Supervisor,"Calgary, AB",18.86,HOUR
Food Service Supervisor,"2090c Harvey AvenueKelowna, BCV1Y 8P8",14.75,HOUR
Cook,"Alert Bay, BC",16.00,HOUR
Delivery Driver,"Saint-Chrysostome, QC","50,000",YEAR
Custodian,"Victoria, BC",17.50,HOUR
Custodian Supervisor - Cleaning Services,"Québec, QC",20.26,HOUR
Carpenter,"North York, ON",25.00,HOUR
Commercial And Industrial Equipment And Supplies Sales Representative - Technical Wholesale,"Sainte-Martine, QC",to be discussed,
Retail Store Supervisor,"Alliston, ON",Not available,
Halfway House Worker,"Saint-Hyacinthe, QC",24.52,HOUR
Operations Manager - Administrative Services,"Boucherville, QC",Not available,
Retail Sales Clerk,"Laval, QC",Not available,
Retail Store Department Head,"Scarborough, ON",Not available,
"Clerk, Retail Sales","Carignan, QC",to be discussed,
Office Receptionist,"Saint-Georges, QC",22.33,HOUR
"Chartered Professional Accountant, Chartered Accountant (CPA, CA)","Québec, QC",Not available,
Food Service Supervisor,"106-3004 Merchant WayVictoria, BCV9B 0X1",16.00,HOUR
Construction Superintendent,"2444 Haines RoadMississauga, ONL4Y 1Y6",40.87,HOUR
Medical Orderly,"41 rue la verendryeProulxville, QCG0X 2B0",19.00,HOUR
Composer,"68 Alpine Cres.SE.Airdrie, ABT4B 1K8",28.85,HOUR
Licensed Practical Nurse (L.P.N.),"Kamsack, SK",34.75,HOUR
"Combination Mechanic, Heavy Equipment","Saint-Jean-Chrysostome, QC",22.00,HOUR
Agricultural Technician,"39 Barkers LaneWicklow, NBE7L 3S4",12.31,HOUR
Screw Machine Set-up Operator,"Sherbrooke, QC",Not available,
Long Haul Truck Driver,"Delta, BC",25.50,HOUR
Health Care Assistant,"Laval, QC",19.98,HOUR
Cook,"184 Wilson St suite 100Victoria, BCV9A 7N6",16.00,HOUR
Cook,"Banff, AB",17.00,HOUR
Lumber Sales Representative - Wholesale,"Brampton, ON",Not available,
Baker,"Edmonton, AB",15.50,HOUR
Framer-carpenter,"Surrey, BC",28.00,HOUR
Farm Labourer,"Vanessa, ON",14.39,HOUR
"Professor, University","200 University Ave., W., Waterloo, ONN2L 3G1","160,000",YEAR
Agronomist,"Halifax, NS",Not available,
Shelf Stocker - Retail,"Montréal, QC",Not available,
Retail Sales Clerk,"Québec, QC",Not available,
"Correspondence, Publication And Regulatory Clerks","La Loche, SK",21.59,HOUR
Building Supplies Salesperson - Retail,"L'Orignal, ON",Not available,
Food Service Supervisor,"Vancouver, BC",15.00,HOUR
Personal Support Worker - Home Support,"Moncton, NB",13.90,HOUR
Carpenter Helper,"McKellar Island, ON",16.00,HOUR
Food Processing Labourer,"2330, Industrial Park DriveCornwall, ONK6H 7N1",15.50,HOUR
Autobody Repairer,"Rimouski, QC",14.00,HOUR
Electrical Technician,"Québec, QC",Not available,
Logistics Manager - Transportation,"460 Elgin Mills Rd East suite 1Richmond Hill, ONL4C 5E7","72,800",YEAR
Cashier,"Clarenville, NL",12.15,HOUR
Personnel Management Adviser,"Chandler, QC",24.87,HOUR
Medical Office Secretary-receptionist,"Gatineau, QC",16.00,HOUR
Apprentice Bricklayer,"Regina, SK",18.00,HOUR
Restaurant Cashier,"Québec, QC",Not available,
"Physician, Family","Lloydminster, SK","400,000 - 600,000",
Receiving Clerk For Returned Merchandise,"Victoriaville, QC",Not available,
Drywall And Ceiling System Installer,"Surrey, BC",28.00,HOUR
Administrative Assistant,"960 Warden AvenueScarborough, ONM1L 4E3",22.53,HOUR
Ironworker,"Surrey, BC",35.00,HOUR
Inn Manager,"Princeton, BC",20.00,HOUR
Packaging Machine Operator - Food Processing,"Oakville, ON",18.75,HOUR
Sales Representative - Wholesale (non-technical),"Fairview, AB",Not available,
Camp Co-ordinator,"Stoneham-et-Tewkesbury, QC",18.50,HOUR
Distribution Clerk,"Saint-Laurent, QC",to be discussed,
"Swamper, Seasonal - Logging And Forestry","La Tuque, QC",to be discussed,
Licensed Practical Nurse (L.P.N.),"Coquitlam, BC",40.00,HOUR
Bar Steward,"Québec, QC",Not available,
RN (registered Nurse),"Liverpool, NS",Not available,
Shipping And Receiving Clerk,"Saint-Rémi, QC",19.85,HOUR
General Farm Worker,"377, 224 RoadDawson Creek, BCV1G 4E8",16.50,HOUR
Electrical Foreman/woman,"Montréal, QC",41.36,HOUR
Sales Consultant - Retail,"Sainte-Adèle, QC",Not available,
"Sandwich, Salad And Dessert Maker","7152 Highway 1 Coldbrook, NSB4R 1C1",12.55,HOUR
Delivery Driver,"Gatineau, QC",to be discussed,
Heavy Equipment Operators Supervisor,"Surrey, BC",35.50,HOUR
Artillery Soldier,"Chicoutimi, QC","35,800",YEAR
Marketing Co-ordinator,"Bedford, NS",18.00,HOUR
Hog Farm Worker,"P.O. Box 130  4739 London LineWyoming, ONN0N 1T0",17.00,HOUR
Carpenter,"Etobicoke, ON",25.00,HOUR
"Driver, Zamboni","Pierrefonds, QC",to be discussed,
Food Service Supervisor,"3255 lakeshore roadKelowna, BCV1W 3S9",14.75,HOUR
Customer Service Operator - Telephone System,"Trois-Rivières, QC",13.50,HOUR
Computer Projects Manager,"Montréal, QC",Not available,
Convenience Store Cashier,"Québec, QC",13.25,HOUR
Investment Advisor - Personal Finances,"Rivière-du-Loup, QC",Not available,
Customer Service Adviser,"Mont-Saint-Hilaire, QC",to be discussed,
Child Caregiver - Private Home,"Calgary, AB",16.35,HOUR
Director Of Nursing - Medical Services,"Lévis, QC",Not available,
Food Service Supervisor,"Vancouver, BC",15.00,HOUR
Refrigeration Mechanic,"Montréal, QC",Not available,
Nursing Assistant (registered - Québec),"Rimouski, QC",to be discussed,
Assistant Cook,"Québec, QC",to be discussed,
Product Manager - Marketing,"Montréal-Est, QC",to be discussed,
Child Caregiver - Private Home,"upper middle and Oxford Oakville, ONL6H 3T4",15.00,HOUR
Cleaning Supervisor,"Edmonton, AB",26.50,HOUR
Rug Cleaning Foreman/woman - Dry Cleaning,"Montréal-Est, QC",to be discussed,
Child Caregiver - Private Home,"L'Île-Bizard, QC",13.10,HOUR
Production Clerk,"Morin-Heights, QC",13.10,HOUR
Hotel Receptionist,"Saint-Alexis-des-Monts, QC",20.86,HOUR
Customer Service Adviser,"Trois-Rivières, QC",to be discussed,
Sales Associate,"Guelph, ON",Not available,
Retail Store Supervisor,"Calgary, AB",20.00,HOUR
Drying Kiln Operator - Wood Processing,"Daveluyville, QC",Not available,
Delivery Truck Driver Helper,"Québec, QC",15.00,HOUR
Training Adviser,"Boucherville, QC",Not available,
Tire Changer - Automotive Service,"Québec, QC",Not available,
Meat Manager - Food Store,"Rosemère, QC",to be discussed,
Trades Instructor - Secondary School,"Sherbrooke, QC",to be discussed,
Human Resources Officer,"Aldergrove, BC",28.00,HOUR
Customer Service Agent,"Lanoraie, QC",to be discussed,
Forklift Operator,"Delta, BC",16.00,HOUR
Hand Packer - Food Store,"Saint-Apollinaire, QC",to be discussed,
RPN (registered Psychiatric Nurse),"Edam, SK",36.35,HOUR
Night Auditor - Hotel,"Point Edward, ON",14.25,HOUR
Child Caregiver - Private Home,"MAJOR MACKENZIE DR. and BAYVIEW AVE.Richmond Hill, ONL4B 0G4",15.00,HOUR
Hardware Salesperson - Retail,"La Tuque, QC",15.00,HOUR
Food Service Supervisor,"4305 Redford StreetPort Alberni, BCV9Y 3R2",16.00,HOUR
Social Services Worker,"Joliette, QC",Not available,
Vendor,"Laval, QC",15.00,HOUR
"Driver, Truck","6679-125B STSurrey, BCV3W 1V8",26.00,HOUR
Attendant For Persons With Disabilities - Home Care,"Calgary, AB",18.00,HOUR
Architectural Technician,"Rosemère, QC",21.00,HOUR
Shelf Stocker - Retail,"Airdrie, AB",Not available,
Landscaping Foreman/woman,"Riverview, NB",15.00,HOUR
Tool And Equipment Rental Clerk,"Saint-Bruno-de-Montarville, QC",Not available,
Driving Instructor,"Gretna, MB",20.00,HOUR
MT (massage Therapist),"L'Assomption, QC",to be discussed,
Supervisor - Retail,"1804 w 4th Ave.Vancouver, BCV6J 1M3",27.50,HOUR
Hairstylist,"20262 Fraser Hwy.Langley, BCV3A 4E6",16.00,HOUR
"Installer And Repairer, Automotive Electronic Accessories - Motor Vehicle Manufacturing","Port Coquitlam, BC",18.00,HOUR
Carpenter,"Burnaby, BC",Not available,
Hotel Cleaner,"Mont-Tremblant, QC",Not available,
Warehouse Worker - Material Handling,"Surrey, BC",18.00,HOUR
"Aide, Health Care","Calgary, AB",18.25,HOUR
Sales Representative - Wholesale (non-technical),"North York, ON",Not available,
Convenience Store Cashier,"Québec, QC",to be discussed,
Forklift Operator,"Edmonton, AB",18.00,HOUR
Electrical Engineer,"Lévis, QC",Not available,
Shop Manager,"Lévis, QC",to be discussed,
Truck Driver,"3388 Weidle Way SWEdmonton, ABT6X 1T3",27.78,HOUR
Sous-chef,"Vancouver, BC",18.50,HOUR
Production Helper,"Matane, QC",to be discussed,
Production Clerk,"Saint-Joseph-de-Beauce, QC",16.31,HOUR
Bus Washer,"Québec, QC",to be discussed,
Parts Clerk,"Rimouski, QC",to be discussed,
Customer Service Assistant,"Vancouver, BC",14.60,HOUR
Welder,"L'Abri-du-Vent-de-Nord, QC",to be discussed,
Production Labourer - Food Processing,"Mont-Laurier, QC",to be discussed,
Moving Van Driver,"Scarborough, ON",Not available,
Daycare Worker Assistant,"Vancouver, BC",21.00,HOUR
Food Counter Attendant,"Bishop's Falls, NL",12.15,HOUR
Electrical Mechanic,"Berthier-sur-Mer, QC",Not available,
Retail Store Supervisor,"252 Kaska RoadSherwood Park, ABT8A 4G7",21.15,HOUR
Administrative Officer,"Surrey, BC",26.00,HOUR
NC (numerically Controlled) Machinist,"Alma, QC",to be discussed,
Store Manager - Retail,"Anjou, QC",to be discussed,
Cook,"Hopedale, NL",14.50,HOUR
Painter,"Surrey, BC",25.50,HOUR
Warehouse Clerk - Parts And Equipment,"Lachine, QC",16.00,HOUR
General Labourer - Manufacturing,"Newmarket, ON",Not available,
Legal Assistant,"Mississauga, ON",Not available,
Electrical Equipment Production Assembler,"Burlington, ON",14.25,HOUR
Electrical Mechanic,"Saint-Augustin-de-Desmaures, QC",24.60,HOUR
Bartender,"740 Burdett AveVictoria, BCV8W 1B2",16.13,HOUR
"Labourer, Construction","Newmarket, ON",16.00,HOUR
Apprentice Glazier,"Surrey, BC",25.00,HOUR
Journeyman/woman Gas Fitter,"Port Coquitlam, BC",Not available,
Receptionist,"Brampton, ON",Not available,
Instructor Of Persons With Special Needs,"Gatineau, QC",21.50,HOUR
Farm Labourer,"Saint-Rémi, QC",13.50,HOUR
Electrical Mechanic,"Québec, QC",to be discussed,
Customer Service Clerk,"Amos, QC",Not available,
Kitchen Helper,"85 SHAWVILLE BLVD SWCalgary, ABT2Y 3W5",15.50,HOUR
RN (registered Nurse),"Lachute, QC",to be discussed,
"Technician, Ophthalmic (except Retail)","Québec, QC",to be discussed,
Drywall Taper,"Surrey, BC",28.00,HOUR
Plant Pathology Technician,"Unit #3, 500 Highway #3Tillsonburg, ONN4G 4H5",14.50,HOUR
Truck Mechanic,"Brampton, ON",25.20,HOUR
Automotive Engine Quality Control Inspector,"Cambridge, ON",Not available,
Occupational Therapist (OT),"Gatineau, QC",Not available,
Early Childhood Educator (E.C.E.),"Vancouver, BC","3,800",MONTH
Fish And Wildlife Officer,"Fort-Coulonge, QC",16.00,HOUR
Assembly Line General Labourer,"Richmond, BC",15.00,HOUR
Truck Driver,"Woodstock, ON",24.25,HOUR
Physical Therapist,"Laval, QC",to be discussed,
Financial Planning And Reporting Manager,"Montréal, QC",Not available,
Restaurant Cashier,"Saint-Jean-sur-Richelieu, QC",15.50,HOUR
"Attendant, Boat Rental","Châteauguay, QC",14.13,HOUR
"Driver, Truck","Regina, SK","85,000",YEAR
"Driver, Logging Truck","Chilliwack, BC",25% per load,
"Driver, Long Haul","Surrey, BC",Not available,
Shipping And Receiving Clerk,"Piedmont, QC",16.00,HOUR
Long Haul Truck Driver,"305 - 11 Dover Point SECalgary, ABT2B 3J8",25.00,HOUR
Food Service Supervisor,"Lethbridge, AB",15.00,HOUR
Administrative Assistant,"Delta, BC",24.00,HOUR
Personal Support Worker - Home Support,"Kitchener, ON",20.00,HOUR
Registered Nurse (R.N.),"Kirkland Lake, ON",50.00,HOUR
Foundation Form Worker,"Edmonton, AB",18.00,HOUR
Truck Trailer Mechanic,"Langley, BC",26.50,HOUR
Civil Engineering Technician,"Montréal, QC",Not available,
Waiter/waitress - Food And Beverage Services,"Regina, SK",11.45,HOUR
Store Manager - Retail,"Fort St. John, BC",26.00,HOUR
Special Assistant,"Gaspé, QC",18.00,HOUR
Retail Merchandiser,"Granby, QC",17.00,HOUR
Fast Food Restaurant Manager,"Québec, QC",to be discussed,
Office Administrator,"Winnipeg, MB",23.60,HOUR
"Sheet Metal Worker, Construction","Chilliwack, BC",Not available,
Material Handler,"75 2ND STREET SBeausejour, MBR0E 0C0",16.50,HOUR
Building Maintenance Supervisor,"Girardville, QC",to be discussed,
Office Administrator,"2074 Steeles Ave E, Unit 26 BBrampton, ONL6T 5A5",25.00,HOUR
Electronics Technician,"Sherbrooke, QC",22.59,HOUR
Cook's Helper,"Québec, QC",to be discussed,
Carpenter,"Surrey, BC",27.50,HOUR
"Clerk, Customer Service","Boucherville, QC",16.00,HOUR
Office Manager,"Surrey, BC",25.00,HOUR
Continuing Care Assistant,"Leask, SK",22.72,HOUR
"Handler, Materials","1634, rang 1Sainte-Clotilde-de-Châteauguay, QCJ0L 1W0",13.10,HOUR
Welder-assembler,"Victoriaville, QC",Not available,
"Technician, Environmental","La Sarre, QC",to be discussed,
Cook,"Brossard, QC",16.00,HOUR
Nursing Assistant (registered - Québec),"Saint-Hubert, QC",35.00,HOUR
Long Haul Driver,"Stratford, PE","60,000",YEAR
Stockroom Clerk - Retail,"Val-d'Or, QC",to be discussed,
Production Planner,"Québec, QC",Not available,
Amusement Park Attendant,"Vancouver, BC",Not available,
Licensed Practical Nurse (L.P.N.),"La Ronge, SK",35.45,HOUR
"Chief Learning Officer (CLO) – Financial, Communications And Other Business Services","Richmond Hill, ON",60.00,HOUR
Cook,"Delta, BC",16.00,HOUR
"Operator, Forklift","Fiske, SK",50,YEAR
Call Centre Agent - Customer Service,"Laval, QC",to be discussed,
Census Enumerator,"Field, ON",17.83,HOUR
Hotel Receptionist,"Québec, QC",15.00,HOUR
Enumerator,"Melville, SK",Not available,
Retail Salesperson,"3093 Bathurst StreetNorth York, ONM6A 2A3",14.50,HOUR
Retail Store Supervisor,"4602 46 Street Olds, ABT4H 1A1",18.86,HOUR
"Officer, Economic Development - Government","Courtenay, BC",Not available,
Retail Store Supervisor,"15128 32 Street NWEdmonton, ABT5Y 0N2",20.00,HOUR
Assistant Cook,"2130 Harvey AveKelowna, BCV1Y 6G8",14.60,HOUR
Retail Merchandiser,"Camrose, AB",Not available,
"Servicer, Swimming Pool","Mascouche, QC",14.00,HOUR
Administrative Assistant,"9711 Alaska Rd.Fort St. John, BCV1J 1A4",22.56,HOUR
Community Pharmacist,"London, ON",40.00,HOUR
Shift Manager - Fast Food Restaurant,"1026 Wonderland Rd., S.London, ONN6K 3S4",16.00,HOUR
Line Cook,"Maple, ON",18.50,HOUR
"Vice-president - Goods Production, Utilities, Transportation And Construction","Vancouver, BC",Not available,
Licensed Practical Nurse (L.P.N.),"Kelvington, SK",35.45,HOUR
Construction Inspector,"Québec, QC",Not available,
Insurance Agent,"Meteghan, NS","48,000",YEAR
Baker,"Revelstoke, BC",Not available,
Clerical Assistant,"Victoriaville, QC",to be discussed,
Food Service Supervisor,"12355 Pattullo PlSurrey, BCV3V 8C3",15.00,HOUR
"Handler, Materials","Saint-Laurent, QC",14.50,HOUR
Grain Elevator Operator,"Saint-Jean-sur-Richelieu, QC",to be discussed,
Maintenance Mechanic,"Granby, QC",22.00,HOUR
"Supervisor, Tellers","Québec, QC",to be discussed,
Retail Store Supervisor,"Sudbury, ON",14.75,HOUR
"Programmer, CNC (computer Numerical Control) Mastercam","Mississauga, ON",30.00,HOUR
Head Chef,"Mississauga, ON",24.10,HOUR
Cook,"Calgary, AB",15.50,HOUR
Customer Service Sales Clerk,"Pierrefonds, QC",Not available,
"Mechanic, Utility Plant Maintenance","Trois-Rivières, QC",24.76,HOUR
Security Services Sales Representative,"Repentigny, QC",500,WEEKLY
Food Processing Quality Control Technician,"Saint-Denis-sur-Richelieu, QC",19.75,HOUR
Digital Marketing Co-ordinator,"Markham, ON","35,000",YEAR
